x,n,AlaskaTotalIn,AlaskaMaleIn,AlaskaFemaleIn,AleutiansEastTotalIn,AleutiansEastMaleIn,AleutiansEastFemaleIn,AleutiansWestTotalIn,AleutiansWestMaleIn,AleutiansWestFemaleIn,AnchorageTotalIn,AnchorageMaleIn,AnchorageFemaleIn,BethelTotalIn,BethelMaleIn,BethelFemaleIn,BristolBayTotalIn,BristolBayMaleIn,BristolBayFemaleIn,DenaliTotalIn,DenaliMaleIn,DenaliFemaleIn,DillinghamTotalIn,DillinghamMaleIn,DillinghamFemaleIn,FairbanksNorthStarTotalIn,FairbanksNorthStarMaleIn,FairbanksNorthStarFemaleIn,HainesTotalIn,HainesMaleIn,HainesFemaleIn,HoonahAngoonTotalIn,HoonahAngoonMaleIn,HoonahAngoonFemaleIn,JuneauTotalIn,JuneauMaleIn,JuneauFemaleIn,KenaiPeninsulaTotalIn,KenaiPeninsulaMaleIn,KenaiPeninsulaFemaleIn,KetchikanGatewayTotalIn,KetchikanGatewayMaleIn,KetchikanGatewayFemaleIn,KodiakIslandTotalIn,KodiakIslandMaleIn,KodiakIslandFemaleIn,KusilvakTotalIn,KusilvakMaleIn,KusilvakFemaleIn,LakeandPeninsulaTotalIn,LakeandPeninsulaMaleIn,LakeandPeninsulaFemaleIn,MatanuskaSusitnaTotalIn,MatanuskaSusitnaMaleIn,MatanuskaSusitnaFemaleIn,NomeTotalIn,NomeMaleIn,NomeFemaleIn,NorthSlopeTotalIn,NorthSlopeMaleIn,NorthSlopeFemaleIn,NorthwestArcticTotalIn,NorthwestArcticMaleIn,NorthwestArcticFemaleIn,PetersburgTotalIn,PetersburgMaleIn,PetersburgFemaleIn,PrinceofWalesHyderTotalIn,PrinceofWalesHyderMaleIn,PrinceofWalesHyderFemaleIn,SitkaTotalIn,SitkaMaleIn,SitkaFemaleIn,SkagwayTotalIn,SkagwayMaleIn,SkagwayFemaleIn,SoutheastFairbanksTotalIn,SoutheastFairbanksMaleIn,SoutheastFairbanksFemaleIn,ValdezCordovaTotalIn,ValdezCordovaMaleIn,ValdezCordovaFemaleIn,WrangellTotalIn,WrangellMaleIn,WrangellFemaleIn,YakutatTotalIn,YakutatMaleIn,YakutatFemaleIn,YukonKoyukukTotalIn,YukonKoyukukMaleIn,YukonKoyukukFemaleIn,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,41481,22967,18514,149,87,62,429,263,166,24960,13323,11637,1038,581,457,119,68,51,221,123,98,374,205,169,8679,4690,3989,236,124,112,204,114,90,2562,1365,1197,4436,2408,2028,1152,625,527,1236,668,568,476,260,216,163,87,76,8539,4556,3983,591,326,265,565,314,251,490,270,220,262,146,116,557,318,239,731,380,351,100,52,48,776,426,350,877,486,391,182,103,79,71,41,30,576,327,249,
0,5,3760,1897,1863,8,4,4,23,12,11,2530,1305,1225,133,67,66,9,6,3,20,9,11,38,23,15,1005,520,485,15,5,10,18,7,11,236,125,111,368,195,173,108,61,47,135,68,67,77,37,40,17,8,9,895,468,427,64,31,33,69,34,35,60,31,29,21,13,8,52,27,25,61,34,27,6,3,3,95,48,47,73,41,32,14,6,8,8,4,4,56,32,24,
5,5,2978,1538,1440,8,4,4,22,13,9,1930,990,940,75,38,37,8,4,4,15,6,9,27,14,13,729,375,354,14,7,7,14,7,7,166,82,84,291,152,139,78,41,37,112,62,50,48,25,23,13,6,7,689,353,336,43,22,21,37,19,18,34,16,18,15,8,7,38,22,16,45,23,22,4,2,2,70,37,33,61,31,30,9,5,4,5,2,3,42,20,22,
10,5,2511,1305,1206,7,4,3,19,10,9,1559,794,765,61,35,26,9,4,5,10,5,5,27,14,13,547,287,260,13,6,7,9,4,5,132,71,61,257,131,126,63,30,33,91,50,41,33,16,17,12,6,6,619,325,294,35,18,17,30,16,14,29,13,16,13,5,8,41,22,19,41,22,19,4,3,1,53,28,25,55,27,28,8,5,3,3,2,1,36,20,16,
15,5,2656,1383,1273,8,4,4,15,8,7,1606,813,793,79,39,40,7,4,3,11,7,4,34,16,18,523,261,262,11,6,5,10,5,5,156,78,78,270,136,134,77,39,38,78,40,38,43,23,20,16,7,9,573,289,284,43,21,22,48,25,23,40,21,19,17,9,8,37,21,16,44,18,26,5,3,2,50,25,25,58,33,25,14,7,7,5,3,2,41,22,19,
20,5,5702,3226,2476,11,5,6,39,24,15,3289,1721,1568,137,74,63,12,7,5,19,12,7,44,21,23,1271,679,592,16,8,8,25,14,11,326,161,165,478,256,222,125,65,60,125,66,59,56,30,26,18,9,9,884,455,429,74,42,32,75,40,35,66,35,31,28,15,13,53,31,22,77,33,44,7,3,4,80,41,39,99,50,49,21,14,7,8,5,3,56,29,27,
25,5,5518,3124,2394,16,9,7,47,26,21,3408,1855,1553,130,74,56,11,6,5,23,11,12,41,21,20,1264,706,558,19,9,10,18,10,8,349,185,164,485,261,224,139,77,62,146,74,72,54,31,23,18,10,8,969,531,438,73,42,31,63,33,30,58,32,26,34,17,17,50,28,22,96,50,46,20,10,10,82,45,37,92,53,39,20,12,8,8,5,3,62,37,25,
30,5,3990,2292,1698,12,8,4,38,24,14,2395,1328,1067,80,47,33,12,7,5,23,13,10,30,17,13,895,494,401,21,10,11,17,10,7,240,137,103,365,201,164,101,57,44,115,63,52,37,21,16,16,9,7,746,404,342,52,31,21,31,19,12,37,23,14,21,13,8,45,26,19,73,41,32,12,6,6,65,37,28,73,39,34,14,7,7,5,2,3,51,30,21,
35,5,3293,1897,1396,12,8,4,45,30,15,1934,1083,851,67,39,28,11,6,5,22,14,8,19,11,8,669,377,292,23,13,10,10,6,4,193,107,86,314,181,133,86,49,37,104,57,47,31,21,10,8,5,3,658,357,301,41,25,16,34,20,14,28,18,10,21,12,9,42,22,20,59,33,26,10,6,4,52,30,22,62,35,27,10,5,5,7,3,4,36,22,14,
40,5,2856,1694,1162,15,10,5,52,36,16,1622,910,712,66,43,23,9,5,4,17,10,7,25,15,10,492,278,214,16,10,6,16,10,6,179,102,77,296,174,122,82,47,35,93,50,43,26,15,11,11,5,6,598,340,258,39,23,16,42,29,13,34,23,11,18,9,9,41,25,16,53,30,23,8,4,4,49,29,20,68,38,30,11,7,4,4,3,1,40,24,16,
45,5,2552,1520,1032,18,11,7,42,29,13,1460,832,628,63,40,23,9,5,4,18,11,7,25,15,10,413,240,173,23,14,9,14,9,5,174,99,75,311,173,138,85,51,34,77,47,30,23,14,9,12,8,4,546,311,235,38,23,15,37,22,15,39,24,15,17,11,6,42,25,17,49,27,22,7,3,4,54,34,20,73,45,28,12,6,6,4,3,1,44,27,17,
50,5,1972,1131,841,11,7,4,34,20,14,1141,627,514,55,33,22,9,5,4,18,10,8,28,16,12,315,177,138,20,10,10,17,11,6,145,78,67,295,160,135,70,38,32,55,33,22,15,10,5,8,5,3,437,246,191,29,17,12,37,22,15,25,14,11,19,11,8,38,22,16,42,24,18,7,4,3,43,26,17,53,29,24,11,7,4,4,3,1,34,19,15,
55,5,1444,823,621,11,6,5,30,17,13,823,458,365,36,20,16,5,3,2,13,8,5,17,10,7,220,125,95,17,10,7,17,9,8,105,58,47,255,144,111,56,30,26,44,25,19,14,8,6,5,2,3,351,187,164,27,16,11,27,17,10,21,12,9,15,10,5,29,18,11,35,17,18,5,3,2,31,19,12,44,27,17,13,8,5,5,3,2,34,19,15,
60,5,897,495,402,7,4,3,14,8,6,488,261,227,26,16,10,3,2,1,7,4,3,8,6,2,136,72,64,13,7,6,10,7,3,67,39,28,182,102,80,31,18,13,24,15,9,8,5,3,4,3,1,231,120,111,13,7,6,18,10,8,7,4,3,8,4,4,21,13,8,17,10,7,4,2,2,25,14,11,29,17,12,10,5,5,3,2,1,20,12,8,
65,5,507,272,235,2,1,1,6,4,2,288,147,141,11,6,5,3,2,1,4,2,2,4,3,1,74,41,33,8,5,3,4,2,2,35,20,15,111,65,46,20,9,11,17,9,8,4,2,2,2,2,0,139,77,62,8,4,4,6,3,3,6,2,4,6,4,2,13,8,5,12,7,5,1,0,1,11,6,5,17,9,8,5,3,2,0,0,0,9,6,3,
70,5,310,158,152,2,1,1,2,1,1,178,83,95,7,5,2,1,1,0,1,1,0,2,1,1,44,25,19,4,2,2,3,2,1,21,10,11,61,33,28,12,7,5,9,5,4,1,0,1,1,1,0,77,38,39,4,1,3,4,3,1,2,1,1,3,2,1,7,4,3,7,4,3,0,0,0,7,4,3,8,5,3,4,3,1,1,1,0,4,2,2,
75,5,218,99,119,1,1,0,1,1,0,122,52,70,6,2,4,1,1,0,0,0,0,2,1,1,31,14,17,2,1,1,1,1,0,15,6,9,40,22,18,7,2,5,5,2,3,2,1,1,1,1,0,54,26,28,3,1,2,3,1,2,2,1,1,2,1,1,5,2,3,4,2,2,0,0,0,5,2,3,5,3,2,3,1,2,1,0,1,5,3,2,
80,5,165,63,102,0,0,0,0,0,0,94,36,58,2,1,1,0,0,0,0,0,0,1,0,1,24,10,14,1,1,0,0,0,0,9,3,6,30,13,17,6,2,4,3,1,2,2,0,2,1,0,1,36,16,20,2,1,1,2,1,1,1,0,1,2,1,1,1,1,0,8,3,5,0,0,0,2,1,1,4,3,1,1,1,0,0,0,0,2,1,1,
85,Inf,152,50,102,0,0,0,0,0,0,93,28,65,4,2,2,0,0,0,0,0,0,2,1,1,27,9,18,0,0,0,1,0,1,14,4,10,27,9,18,6,2,4,3,1,2,2,1,1,0,0,0,37,13,24,3,1,2,2,0,2,1,0,1,2,1,1,2,1,1,8,2,6,0,0,0,2,0,2,3,1,2,2,1,1,0,0,0,4,2,2,
