Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,188,70-74,5,3,2,10,5,5,
2015 to 2020,188,75-79,4,2,2,5,2,3,
2015 to 2020,188,80-84,3,1,2,2,1,1,
2015 to 2020,188,85-89,2,0,2,3,1,2,
2015 to 2020,188,90+,2,1,1,1,0,1,
2015 to 2020,195,Total,221,119,102,229,128,101,
2015 to 2020,195,0-4,22,12,10,17,11,6,
2015 to 2020,195,5-9,14,6,8,14,7,7,
2015 to 2020,195,10-14,12,6,6,9,5,4,
2015 to 2020,195,15-19,10,5,5,15,8,7,
2015 to 2020,195,20-24,18,9,9,32,17,15,
2015 to 2020,195,25-29,28,15,13,22,12,10,
2015 to 2020,195,30-34,24,15,9,21,12,9,
2015 to 2020,195,35-39,16,9,7,15,9,6,
2015 to 2020,195,40-44,11,6,5,12,8,4,
2015 to 2020,195,45-49,11,6,5,11,6,5,
2015 to 2020,195,50-54,11,6,5,11,6,5,
2015 to 2020,195,55-59,12,7,5,13,6,7,
2015 to 2020,195,60-64,9,5,4,14,7,7,
2015 to 2020,195,65-69,9,5,4,11,7,4,
2015 to 2020,195,70-74,4,2,2,5,3,2,
2015 to 2020,195,75-79,5,3,2,4,2,2,
2015 to 2020,195,80-84,2,1,1,2,1,1,
2015 to 2020,195,85-89,2,1,1,0,0,0,
2015 to 2020,195,90+,1,0,1,1,1,0,
2015 to 2020,198,Total,486,280,206,578,330,248,
2015 to 2020,198,0-4,49,26,23,38,23,15,
2015 to 2020,198,5-9,33,16,17,37,18,19,
2015 to 2020,198,10-14,28,15,13,36,19,17,
2015 to 2020,198,15-19,26,18,8,47,26,21,
2015 to 2020,198,20-24,38,20,18,60,33,27,
2015 to 2020,198,25-29,46,24,22,52,30,22,
2015 to 2020,198,30-34,48,26,22,41,24,17,
2015 to 2020,198,35-39,32,21,11,42,25,17,
2015 to 2020,198,40-44,27,17,10,31,19,12,
2015 to 2020,198,45-49,27,16,11,33,17,16,
2015 to 2020,198,50-54,29,19,10,29,17,12,
2015 to 2020,198,55-59,32,18,14,35,20,15,
2015 to 2020,198,60-64,29,17,12,30,17,13,
2015 to 2020,198,65-69,19,12,7,26,16,10,
2015 to 2020,198,70-74,10,7,3,17,10,7,
2015 to 2020,198,75-79,6,4,2,11,6,5,
2015 to 2020,198,80-84,5,3,2,9,7,2,
2015 to 2020,198,85-89,2,1,1,2,1,1,
2015 to 2020,198,90+,0,0,0,2,2,0,
2015 to 2020,220,Total,647,343,304,745,387,358,
2015 to 2020,220,0-4,44,28,16,45,20,25,
2015 to 2020,220,5-9,38,19,19,41,20,21,
2015 to 2020,220,10-14,32,16,16,38,19,19,
2015 to 2020,220,15-19,37,19,18,53,26,27,
2015 to 2020,220,20-24,54,26,28,74,37,37,
2015 to 2020,220,25-29,86,42,44,84,40,44,
2015 to 2020,220,30-34,79,42,37,72,39,33,
2015 to 2020,220,35-39,60,30,30,60,32,28,
2015 to 2020,220,40-44,44,26,18,46,26,20,
2015 to 2020,220,45-49,33,18,15,43,25,18,
2015 to 2020,220,50-54,32,19,13,38,23,15,
2015 to 2020,220,55-59,31,18,13,40,21,19,
2015 to 2020,220,60-64,25,13,12,43,23,20,
2015 to 2020,220,65-69,21,11,10,23,14,9,
2015 to 2020,220,70-74,10,6,4,18,9,9,
2015 to 2020,220,75-79,7,4,3,11,6,5,
2015 to 2020,220,80-84,7,3,4,7,4,3,
2015 to 2020,220,85-89,4,2,2,5,2,3,
2015 to 2020,220,90+,3,1,2,4,1,3,
2015 to 2020,230,Total,113,60,53,102,53,49,
2015 to 2020,230,0-4,10,6,4,7,3,4,
2015 to 2020,230,5-9,7,4,3,4,2,2,
2015 to 2020,230,10-14,6,4,2,4,2,2,
2015 to 2020,230,15-19,4,2,2,4,2,2,
2015 to 2020,230,20-24,8,4,4,7,3,4,
2015 to 2020,230,25-29,12,6,6,12,6,6,
2015 to 2020,230,30-34,17,9,8,12,7,5,
2015 to 2020,230,35-39,12,6,6,11,5,6,
2015 to 2020,230,40-44,9,5,4,7,4,3,
2015 to 2020,230,45-49,8,3,5,8,4,4,
2015 to 2020,230,50-54,5,3,2,5,2,3,
2015 to 2020,230,55-59,5,3,2,4,3,1,
2015 to 2020,230,60-64,4,2,2,7,3,4,
2015 to 2020,230,65-69,4,2,2,7,5,2,
2015 to 2020,230,70-74,2,1,1,2,1,1,
2015 to 2020,230,75-79,0,0,0,0,0,0,
2015 to 2020,230,80-84,0,0,0,1,1,0,
2015 to 2020,230,85-89,0,0,0,0,0,0,
2015 to 2020,230,90+,0,0,0,0,0,0,
2015 to 2020,240,Total,621,327,294,663,351,312,
2015 to 2020,240,0-4,68,34,34,57,29,28,
2015 to 2020,240,5-9,52,27,25,52,27,25,
2015 to 2020,240,10-14,42,22,20,45,22,23,
2015 to 2020,240,15-19,35,19,16,59,27,32,
2015 to 2020,240,20-24,54,24,30,77,37,40,
2015 to 2020,240,25-29,67,36,31,62,33,29,
2015 to 2020,240,30-34,52,28,24,50,27,23,
2015 to 2020,240,35-39,42,21,21,45,23,22,
2015 to 2020,240,40-44,40,22,18,40,22,18,
2015 to 2020,240,45-49,30,18,12,32,20,12,
2015 to 2020,240,50-54,32,18,14,30,17,13,
2015 to 2020,240,55-59,31,18,13,34,23,11,
2015 to 2020,240,60-64,25,14,11,28,13,15,
2015 to 2020,240,65-69,22,12,10,21,12,9,
2015 to 2020,240,70-74,12,7,5,13,8,5,
2015 to 2020,240,75-79,8,4,4,8,6,2,
2015 to 2020,240,80-84,5,2,3,6,3,3,
2015 to 2020,240,85-89,2,0,2,3,1,2,
2015 to 2020,240,90+,2,1,1,1,1,0,
2015 to 2020,275,Total,169,94,75,184,102,82,
2015 to 2020,275,0-4,13,7,6,10,6,4,
2015 to 2020,275,5-9,12,6,6,8,4,4,
2015 to 2020,275,10-14,11,6,5,8,4,4,
2015 to 2020,275,15-19,11,6,5,12,6,6,
2015 to 2020,275,20-24,12,6,6,24,14,10,
2015 to 2020,275,25-29,15,8,7,19,10,9,
2015 to 2020,275,30-34,13,8,5,16,10,6,
2015 to 2020,275,35-39,14,9,5,9,6,3,
2015 to 2020,275,40-44,11,5,6,10,6,4,
2015 to 2020,275,45-49,11,6,5,8,4,4,
2015 to 2020,275,50-54,9,5,4,11,6,5,
2015 to 2020,275,55-59,10,6,4,11,5,6,
2015 to 2020,275,60-64,9,6,3,10,7,3,
2015 to 2020,275,65-69,8,4,4,11,5,6,
2015 to 2020,275,70-74,5,3,2,6,3,3,
2015 to 2020,275,75-79,3,2,1,4,2,2,
2015 to 2020,275,80-84,2,1,1,4,2,2,
2015 to 2020,275,85-89,0,0,0,2,1,1,
2015 to 2020,275,90+,0,0,0,1,1,0,
2015 to 2020,282,Total,50,28,22,59,34,25,
2015 to 2020,282,0-4,5,3,2,4,2,2,
2015 to 2020,282,5-9,3,1,2,3,2,1,
2015 to 2020,282,10-14,3,2,1,4,3,1,
2015 to 2020,282,15-19,3,1,2,4,2,2,
2015 to 2020,282,20-24,5,3,2,7,4,3,
2015 to 2020,282,25-29,5,3,2,5,3,2,
2015 to 2020,282,30-34,6,3,3,5,3,2,
2015 to 2020,282,35-39,4,3,1,4,3,1,
2015 to 2020,282,40-44,3,2,1,4,2,2,
2015 to 2020,282,45-49,3,1,2,4,2,2,
2015 to 2020,282,50-54,2,1,1,4,2,2,
2015 to 2020,282,55-59,3,2,1,3,1,2,
2015 to 2020,282,60-64,4,2,2,4,3,1,
2015 to 2020,282,65-69,1,1,0,3,2,1,
2015 to 2020,282,70-74,0,0,0,0,0,0,
2015 to 2020,282,75-79,0,0,0,0,0,0,
2015 to 2020,282,80-84,0,0,0,1,0,1,
2015 to 2020,282,85-89,0,0,0,0,0,0,
2015 to 2020,282,90+,0,0,0,0,0,0,
2015 to 2020,290,Total,502,281,221,617,339,278,
2015 to 2020,290,0-4,48,23,25,53,28,25,
2015 to 2020,290,5-9,38,21,17,48,26,22,
2015 to 2020,290,10-14,33,18,15,41,19,22,
2015 to 2020,290,15-19,35,18,17,58,27,31,
2015 to 2020,290,20-24,42,22,20,57,31,26,
2015 to 2020,290,25-29,47,26,21,56,30,26,
2015 to 2020,290,30-34,47,27,20,53,31,22,
2015 to 2020,290,35-39,36,21,15,45,26,19,
2015 to 2020,290,40-44,31,20,11,34,21,13,
2015 to 2020,290,45-49,22,12,10,22,13,9,
2015 to 2020,290,50-54,27,16,11,30,17,13,
2015 to 2020,290,55-59,30,17,13,33,20,13,
2015 to 2020,290,60-64,25,17,8,27,16,11,
2015 to 2020,290,65-69,17,10,7,26,16,10,
2015 to 2020,290,70-74,10,6,4,15,7,8,
2015 to 2020,290,75-79,5,3,2,10,6,4,
2015 to 2020,290,80-84,5,3,2,5,3,2,
2015 to 2020,290,85-89,2,0,2,2,1,1,
2015 to 2020,290,90+,2,1,1,2,1,1,
2010 to 2015,000,Total,44125,24376,19749,46749,25664,21085,
2010 to 2015,000,0-4,4013,2063,1950,4130,2131,1999,
2010 to 2015,000,5-9,3155,1613,1542,3312,1671,1641,
2010 to 2015,000,10-14,2582,1321,1261,2685,1369,1316,
2010 to 2015,000,15-19,2615,1393,1222,2994,1568,1426,
2010 to 2015,000,20-24,5746,3202,2544,5574,3117,2457,
2010 to 2015,000,25-29,6315,3542,2773,5542,3163,2379,
2010 to 2015,000,30-34,4749,2714,2035,4607,2643,1964,
2010 to 2015,000,35-39,3340,1946,1394,3382,1963,1419,
2010 to 2015,000,40-44,2688,1575,1113,2836,1645,1191,
2010 to 2015,000,45-49,2387,1413,974,2491,1443,1048,
2010 to 2015,000,50-54,2160,1254,906,2477,1393,1084,
2010 to 2015,000,55-59,1707,960,747,2238,1200,1038,
2010 to 2015,000,60-64,1121,625,496,1928,1041,887,
2010 to 2015,000,65-69,624,338,286,1163,634,529,
2010 to 2015,000,70-74,379,193,186,646,341,305,
2010 to 2015,000,75-79,236,106,130,321,159,162,
2010 to 2015,000,80-84,157,63,94,206,81,125,
2010 to 2015,000,85-89,95,35,60,124,63,61,
2010 to 2015,000,90+,56,20,36,93,39,54,
2010 to 2015,013,Total,153,92,61,178,106,72,
2010 to 2015,013,0-4,10,5,5,9,3,6,
2010 to 2015,013,5-9,7,4,3,9,6,3,
2010 to 2015,013,10-14,6,4,2,10,6,4,
2010 to 2015,013,15-19,7,3,4,12,4,8,
2010 to 2015,013,20-24,11,7,4,13,9,4,
2010 to 2015,013,25-29,13,8,5,17,9,8,
2010 to 2015,013,30-34,16,10,6,17,11,6,
2010 to 2015,013,35-39,12,8,4,12,8,4,
2010 to 2015,013,40-44,13,8,5,14,9,5,
2010 to 2015,013,45-49,14,8,6,18,12,6,
2010 to 2015,013,50-54,17,11,6,15,10,5,
2010 to 2015,013,55-59,12,8,4,14,9,5,
2010 to 2015,013,60-64,7,4,3,7,4,3,
2010 to 2015,013,65-69,4,2,2,7,4,3,
2010 to 2015,013,70-74,2,1,1,2,1,1,
2010 to 2015,013,75-79,1,0,1,2,1,1,
2010 to 2015,013,80-84,1,1,0,0,0,0,
2010 to 2015,013,85-89,0,0,0,0,0,0,
2010 to 2015,013,90+,0,0,0,0,0,0,
2010 to 2015,016,Total,421,262,159,447,278,169,
2010 to 2015,016,0-4,26,14,12,26,13,13,
2010 to 2015,016,5-9,23,13,10,21,11,10,
2010 to 2015,016,10-14,16,8,8,20,11,9,
2010 to 2015,016,15-19,17,9,8,27,14,13,
2010 to 2015,016,20-24,35,19,16,33,18,15,
2010 to 2015,016,25-29,48,29,19,39,26,13,
2010 to 2015,016,30-34,41,25,16,36,20,16,
2010 to 2015,016,35-39,40,26,14,38,27,11,
2010 to 2015,016,40-44,38,27,11,37,26,11,
2010 to 2015,016,45-49,36,26,10,41,28,13,
2010 to 2015,016,50-54,36,23,13,43,29,14,
2010 to 2015,016,55-59,31,20,11,33,21,12,
2010 to 2015,016,60-64,21,14,7,29,19,10,
2010 to 2015,016,65-69,10,7,3,16,11,5,
2010 to 2015,016,70-74,3,2,1,5,3,2,
2010 to 2015,016,75-79,0,0,0,2,1,1,
2010 to 2015,016,80-84,0,0,0,0,0,0,
2010 to 2015,016,85-89,0,0,0,1,0,1,
2010 to 2015,016,90+,0,0,0,0,0,0,
2010 to 2015,020,Total,25694,13663,12031,27664,14746,12918,
2010 to 2015,020,0-4,2513,1320,1193,2652,1373,1279,
2010 to 2015,020,5-9,1923,980,943,2079,1060,1019,
2010 to 2015,020,10-14,1526,786,740,1669,863,806,
2010 to 2015,020,15-19,1493,743,750,1724,896,828,
2010 to 2015,020,20-24,3270,1699,1571,3225,1690,1535,
2010 to 2015,020,25-29,3783,2047,1736,3484,1893,1591,
2010 to 2015,020,30-34,2893,1583,1310,2852,1572,1280,
2010 to 2015,020,35-39,1904,1054,850,1981,1119,862,
2010 to 2015,020,40-44,1512,850,662,1658,933,725,
2010 to 2015,020,45-49,1276,710,566,1420,782,638,
2010 to 2015,020,50-54,1174,640,534,1386,740,646,
2010 to 2015,020,55-59,934,512,422,1222,646,576,
2010 to 2015,020,60-64,613,324,289,1010,530,480,
2010 to 2015,020,65-69,348,178,170,611,324,287,
2010 to 2015,020,70-74,207,104,103,319,160,159,
2010 to 2015,020,75-79,140,60,80,164,79,85,
2010 to 2015,020,80-84,92,37,55,100,42,58,
2010 to 2015,020,85-89,59,23,36,61,23,38,
2010 to 2015,020,90+,34,13,21,47,21,26,
2010 to 2015,050,Total,1213,668,545,1324,733,591,
2010 to 2015,050,0-4,150,76,74,143,76,67,
2010 to 2015,050,5-9,103,53,50,110,61,49,
2010 to 2015,050,10-14,76,41,35,82,44,38,
2010 to 2015,050,15-19,80,40,40,102,54,48,
2010 to 2015,050,20-24,142,73,69,172,93,79,
2010 to 2015,050,25-29,167,94,73,154,87,67,
2010 to 2015,050,30-34,115,68,47,121,70,51,
2010 to 2015,050,35-39,77,48,29,78,48,30,
2010 to 2015,050,40-44,61,38,23,64,40,24,
2010 to 2015,050,45-49,60,37,23,61,36,25,
2010 to 2015,050,50-54,62,35,27,69,41,28,
2010 to 2015,050,55-59,50,27,23,62,33,29,
2010 to 2015,050,60-64,31,18,13,42,22,20,
2010 to 2015,050,65-69,15,10,5,26,15,11,
2010 to 2015,050,70-74,8,3,5,15,7,8,
2010 to 2015,050,75-79,8,4,4,9,2,7,
2010 to 2015,050,80-84,5,2,3,8,3,5,
2010 to 2015,050,85-89,2,1,1,3,0,3,
2010 to 2015,050,90+,1,0,1,3,1,2,
2010 to 2015,060,Total,104,58,46,129,74,55,
2010 to 2015,060,0-4,5,2,3,8,4,4,
2010 to 2015,060,5-9,4,2,2,5,3,2,
2010 to 2015,060,10-14,5,2,3,4,2,2,
2010 to 2015,060,15-19,7,4,3,10,5,5,
2010 to 2015,060,20-24,10,5,5,11,6,5,
2010 to 2015,060,25-29,15,8,7,17,10,7,
2010 to 2015,060,30-34,9,5,4,10,7,3,
2010 to 2015,060,35-39,12,7,5,10,5,5,
2010 to 2015,060,40-44,7,4,3,8,6,2,
2010 to 2015,060,45-49,9,6,3,8,4,4,
2010 to 2015,060,50-54,8,4,4,11,6,5,
2010 to 2015,060,55-59,7,5,2,10,4,6,
2010 to 2015,060,60-64,4,3,1,8,6,2,
2010 to 2015,060,65-69,2,1,1,4,3,1,
2010 to 2015,060,70-74,0,0,0,2,1,1,
2010 to 2015,060,75-79,0,0,0,2,1,1,
2010 to 2015,060,80-84,0,0,0,1,1,0,
2010 to 2015,060,85-89,0,0,0,0,0,0,
2010 to 2015,060,90+,0,0,0,0,0,0,
2010 to 2015,063,Total,712,393,319,740,412,328,
2010 to 2015,063,0-4,70,32,38,56,31,25,
2010 to 2015,063,5-9,46,26,20,47,24,23,
2010 to 2015,063,10-14,41,23,18,40,23,17,
2010 to 2015,063,15-19,32,17,15,47,23,24,
2010 to 2015,063,20-24,78,45,33,89,48,41,
2010 to 2015,063,25-29,103,54,49,81,44,37,
2010 to 2015,063,30-34,76,42,34,65,39,26,
2010 to 2015,063,35-39,51,29,22,44,24,20,
2010 to 2015,063,40-44,41,24,17,41,24,17,
2010 to 2015,063,45-49,46,25,21,43,24,19,
2010 to 2015,063,50-54,47,29,18,60,36,24,
2010 to 2015,063,55-59,32,19,13,47,25,22,
2010 to 2015,063,60-64,21,14,7,34,21,13,
2010 to 2015,063,65-69,14,7,7,25,15,10,
2010 to 2015,063,70-74,6,4,2,12,8,4,
2010 to 2015,063,75-79,2,1,1,3,2,1,
2010 to 2015,063,80-84,2,1,1,2,1,1,
2010 to 2015,063,85-89,3,1,2,2,0,2,
2010 to 2015,063,90+,1,0,1,2,0,2,
2010 to 2015,066,Total,305,165,140,366,190,176,
2010 to 2015,066,0-4,28,18,10,24,11,13,
2010 to 2015,066,5-9,27,12,15,20,11,9,
2010 to 2015,066,10-14,18,9,9,21,10,11,
2010 to 2015,066,15-19,20,10,10,31,15,16,
2010 to 2015,066,20-24,24,10,14,43,21,22,
2010 to 2015,066,25-29,34,16,18,36,16,20,
2010 to 2015,066,30-34,30,19,11,29,18,11,
2010 to 2015,066,35-39,15,8,7,17,9,8,
2010 to 2015,066,40-44,16,10,6,21,12,9,
2010 to 2015,066,45-49,21,11,10,24,13,11,
2010 to 2015,066,50-54,25,14,11,23,11,12,
2010 to 2015,066,55-59,20,11,9,23,12,11,
2010 to 2015,066,60-64,15,9,6,21,13,8,
2010 to 2015,066,65-69,5,3,2,14,8,6,
2010 to 2015,066,70-74,5,4,1,9,4,5,
2010 to 2015,066,75-79,2,1,1,4,2,2,
2010 to 2015,066,80-84,0,0,0,4,3,1,
2010 to 2015,066,85-89,0,0,0,0,0,0,
2010 to 2015,066,90+,0,0,0,2,1,1,
2010 to 2015,068,Total,208,113,95,229,124,105,
2010 to 2015,068,0-4,17,9,8,16,7,9,
2010 to 2015,068,5-9,11,6,5,12,5,7,
2010 to 2015,068,10-14,11,5,6,12,6,6,
2010 to 2015,068,15-19,7,2,5,14,6,8,
2010 to 2015,068,20-24,18,10,8,21,12,9,
2010 to 2015,068,25-29,26,12,14,17,9,8,
2010 to 2015,068,30-34,27,15,12,21,12,9,
2010 to 2015,068,35-39,18,9,9,18,9,9,
2010 to 2015,068,40-44,13,8,5,16,9,7,
2010 to 2015,068,45-49,15,9,6,13,8,5,
2010 to 2015,068,50-54,17,10,7,18,11,7,
2010 to 2015,068,55-59,9,5,4,19,10,9,
2010 to 2015,068,60-64,10,8,2,17,10,7,
2010 to 2015,068,65-69,4,2,2,7,5,2,
2010 to 2015,068,70-74,3,2,1,5,3,2,
2010 to 2015,068,75-79,2,1,1,3,2,1,
2010 to 2015,068,80-84,0,0,0,0,0,0,
2010 to 2015,068,85-89,0,0,0,0,0,0,
2010 to 2015,068,90+,0,0,0,0,0,0,
2010 to 2015,070,Total,366,202,164,405,221,184,
2010 to 2015,070,0-4,41,20,21,42,22,20,
2010 to 2015,070,5-9,26,12,14,26,13,13,
2010 to 2015,070,10-14,18,8,10,22,9,13,
2010 to 2015,070,15-19,24,12,12,33,17,16,
2010 to 2015,070,20-24,47,27,20,54,27,27,
2010 to 2015,070,25-29,44,26,18,44,27,17,
2010 to 2015,070,30-34,36,19,17,37,20,17,
2010 to 2015,070,35-39,26,15,11,25,14,11,
2010 to 2015,070,40-44,19,12,7,16,11,5,
2010 to 2015,070,45-49,21,13,8,21,14,7,
2010 to 2015,070,50-54,24,14,10,24,12,12,
2010 to 2015,070,55-59,19,11,8,23,13,10,
2010 to 2015,070,60-64,13,7,6,20,10,10,
2010 to 2015,070,65-69,6,4,2,10,7,3,
2010 to 2015,070,70-74,1,1,0,5,3,2,
2010 to 2015,070,75-79,1,1,0,1,0,1,
2010 to 2015,070,80-84,0,0,0,0,0,0,
2010 to 2015,070,85-89,0,0,0,1,1,0,
2010 to 2015,070,90+,0,0,0,1,1,0,
2010 to 2015,090,Total,8467,4534,3933,9571,5108,4463,
2010 to 2015,090,0-4,933,481,452,1067,570,497,
2010 to 2015,090,5-9,703,357,346,818,415,403,
2010 to 2015,090,10-14,547,290,257,624,315,309,
2010 to 2015,090,15-19,498,260,238,601,317,284,
2010 to 2015,090,20-24,1103,584,519,1093,564,529,
2010 to 2015,090,25-29,1257,674,583,1263,687,576,
2010 to 2015,090,30-34,956,518,438,1018,559,459,
2010 to 2015,090,35-39,647,360,287,753,410,343,
2010 to 2015,090,40-44,472,273,199,544,309,235,
2010 to 2015,090,45-49,374,209,165,415,230,185,
2010 to 2015,090,50-54,325,184,141,393,212,181,
2010 to 2015,090,55-59,254,139,115,341,180,161,
2010 to 2015,090,60-64,177,98,79,290,160,130,
2010 to 2015,090,65-69,89,47,42,157,83,74,
2010 to 2015,090,70-74,49,25,24,86,50,36,
2010 to 2015,090,75-79,30,13,17,45,21,24,
2010 to 2015,090,80-84,26,11,15,31,11,20,
2010 to 2015,090,85-89,15,7,8,21,12,9,
2010 to 2015,090,90+,12,4,8,11,3,8,
2010 to 2015,100,Total,202,108,94,208,111,97,
2010 to 2015,100,0-4,14,7,7,13,8,5,
2010 to 2015,100,5-9,10,5,5,9,4,5,
2010 to 2015,100,10-14,12,6,6,12,6,6,
2010 to 2015,100,15-19,8,6,2,13,6,7,
2010 to 2015,100,20-24,15,7,8,22,11,11,
2010 to 2015,100,25-29,20,10,10,16,8,8,
2010 to 2015,100,30-34,19,10,9,13,6,7,
2010 to 2015,100,35-39,15,9,6,16,9,7,
2010 to 2015,100,40-44,14,8,6,16,9,7,
2010 to 2015,100,45-49,18,11,7,15,10,5,
2010 to 2015,100,50-54,14,8,6,13,8,5,
2010 to 2015,100,55-59,12,6,6,16,9,7,
2010 to 2015,100,60-64,12,5,7,13,7,6,
2010 to 2015,100,65-69,10,6,4,9,4,5,
2010 to 2015,100,70-74,3,2,1,6,3,3,
2010 to 2015,100,75-79,2,1,1,3,2,1,
2010 to 2015,100,80-84,1,0,1,1,0,1,
2010 to 2015,100,85-89,1,0,1,0,0,0,
2010 to 2015,100,90+,2,1,1,2,1,1,
2010 to 2015,105,Total,211,118,93,213,125,88,
2010 to 2015,105,0-4,20,9,11,16,11,5,
2010 to 2015,105,5-9,11,6,5,11,5,6,
2010 to 2015,105,10-14,14,8,6,11,6,5,
2010 to 2015,105,15-19,11,7,4,15,10,5,
2010 to 2015,105,20-24,16,9,7,25,13,12,
2010 to 2015,105,25-29,22,11,11,21,12,9,
2010 to 2015,105,30-34,13,8,5,16,9,7,
2010 to 2015,105,35-39,14,7,7,8,5,3,
2010 to 2015,105,40-44,13,9,4,13,7,6,
2010 to 2015,105,45-49,13,7,6,11,7,4,
2010 to 2015,105,50-54,16,9,7,14,10,4,
2010 to 2015,105,55-59,20,11,9,16,8,8,
2010 to 2015,105,60-64,13,7,6,12,7,5,
2010 to 2015,105,65-69,8,5,3,10,7,3,
2010 to 2015,105,70-74,3,2,1,6,3,3,
2010 to 2015,105,75-79,3,2,1,3,2,1,
2010 to 2015,105,80-84,1,1,0,2,2,0,
2010 to 2015,105,85-89,0,0,0,1,0,1,
2010 to 2015,105,90+,0,0,0,2,1,1,
2010 to 2015,110,Total,2768,1474,1294,2659,1411,1248,
2010 to 2015,110,0-4,210,103,107,174,77,97,
2010 to 2015,110,5-9,159,78,81,149,73,76,
2010 to 2015,110,10-14,133,67,66,127,67,60,
2010 to 2015,110,15-19,176,88,88,178,91,87,
2010 to 2015,110,20-24,328,164,164,343,181,162,
2010 to 2015,110,25-29,413,216,197,307,163,144,
2010 to 2015,110,30-34,306,171,135,246,137,109,
2010 to 2015,110,35-39,221,124,97,185,105,80,
2010 to 2015,110,40-44,184,109,75,174,103,71,
2010 to 2015,110,45-49,172,100,72,154,91,63,
2010 to 2015,110,50-54,155,87,68,161,87,74,
2010 to 2015,110,55-59,130,73,57,166,84,82,
2010 to 2015,110,60-64,82,46,36,131,70,61,
2010 to 2015,110,65-69,42,24,18,82,43,39,
2010 to 2015,110,70-74,19,9,10,37,18,19,
2010 to 2015,110,75-79,15,7,8,19,12,7,
2010 to 2015,110,80-84,10,3,7,11,3,8,
2010 to 2015,110,85-89,8,3,5,9,4,5,
2010 to 2015,110,90+,5,2,3,6,2,4,
2010 to 2015,122,Total,4689,2532,2157,4609,2477,2132,
2010 to 2015,122,0-4,404,207,197,348,173,175,
2010 to 2015,122,5-9,328,166,162,273,138,135,
2010 to 2015,122,10-14,255,132,123,223,117,106,
2010 to 2015,122,15-19,256,128,128,318,160,158,
2010 to 2015,122,20-24,497,264,233,627,330,297,
2010 to 2015,122,25-29,556,308,248,512,290,222,
2010 to 2015,122,30-34,463,258,205,371,209,162,
2010 to 2015,122,35-39,337,191,146,295,166,129,
2010 to 2015,122,40-44,282,164,118,251,143,108,
2010 to 2015,122,45-49,279,165,114,275,157,118,
2010 to 2015,122,50-54,288,157,131,280,152,128,
2010 to 2015,122,55-59,261,139,122,264,139,125,
2010 to 2015,122,60-64,207,113,94,229,122,107,
2010 to 2015,122,65-69,128,73,55,143,79,64,
2010 to 2015,122,70-74,63,31,32,91,49,42,
2010 to 2015,122,75-79,34,17,17,46,23,23,
2010 to 2015,122,80-84,26,10,16,31,14,17,
2010 to 2015,122,85-89,15,6,9,22,12,10,
2010 to 2015,122,90+,10,3,7,10,4,6,
2010 to 2015,130,Total,1170,633,537,1191,639,552,
2010 to 2015,130,0-4,98,52,46,96,49,47,
2010 to 2015,130,5-9,76,38,38,76,37,39,
2010 to 2015,130,10-14,68,35,33,63,33,30,
